index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force_slave,elapsed_time(ms),command_slave_amps,position_slave_deg,command_master_amps,position_master_deg
215,14,6250,0,-390,-5.8,2,-3936,-5.6,0.55,3022,-2.0019550342130987,-137.109375,-2.0,-1383.75
216,14,6264,0,-481,-5.0,2,-3438,-0.9,0.27,3036,-2.0019550342130987,-169.1015625,-2.0,-1208.671875
217,14,6278,0,-566,-6.1,2,-2910,-4.8,0.16,3050,-2.0019550342130987,-198.984375,-2.0,-1023.046875
218,14,6292,0,-4907,-0.2,2,-4878,-4.9,0.4,3064,-2.0019550342130987,-1725.1171875,-2.0,-1714.921875
219,14,6306,0,-3532,-1.7,2,-2278,-6.1,0.41,3078,-2.0019550342130987,-1241.71875,-2.0,-800.859375
220,15,6321,0,-1207,-5.6,2,-822,-0.4,0.46,3093,-2.0019550342130987,-424.3359375,-2.0,-288.984375
221,14,6335,0,-1659,-3.5,2,-4164,-1.1,0.21,3107,-2.0019550342130987,-583.2421875,-2.0,-1463.90625
222,13,6348,0,-2880,-3.8,2,-4688,-0.4,0.08,3120,-2.0019550342130987,-1012.5,-2.0,-1648.125
223,15,6363,0,-1054,-6.9,2,-2328,-0.9,0.54,3135,-2.0019550342130987,-370.546875,-2.0,-818.4375
224,14,6377,0,-3264,-6.5,2,-393,-3.7,0.35,3149,-2.0019550342130987,-1147.5,-2.0,-138.1640625
225,14,6391,0,-3447,-4.8,2,-2075,-3.0,0.07,3163,-2.0019550342130987,-1211.8359375,-2.0,-729.4921875
226,15,6406,0,-743,-6.7,2,-1705,-6.1,0.68,3178,-2.0019550342130987,-261.2109375,-2.0,-599.4140625
227,13,6419,0,-3742,-6.6,2,-840,-1.2,0.51,3191,-2.0019550342130987,-1315.546875,-2.0,-295.3125
228,14,6433,0,-125,-1.2,2,-708,-1.7,0.47,3205,-2.0019550342130987,-43.9453125,-2.0,-248.90625
229,15,6448,0,-1724,-2.4,2,-4354,-3.7,0.39,3220,-2.0019550342130987,-606.09375,-2.0,-1530.703125
230,14,6462,0,-2516,-1.8,2,-881,-1.8,0.05,3234,-2.0019550342130987,-884.53125,-2.0,-309.7265625
231,13,6475,0,-1141,-4.8,2,-855,-4.4,0.61,3247,-2.0019550342130987,-401.1328125,-2.0,-300.5859375
232,15,6490,0,-2828,-4.2,2,-1000,-3.0,0.27,3262,-2.0019550342130987,-994.21875,-2.0,-351.5625
233,14,6504,0,-3708,-6.5,2,-1072,-3.0,0.17,3276,-2.0019550342130987,-1303.59375,-2.0,-376.875
234,14,6518,0,-2808,-3.7,2,-217,-0.8,0.23,3290,-2.0019550342130987,-987.1875,-2.0,-76.2890625
235,15,6533,0,-991,-5.9,2,-514,-3.7,0.09,3305,-2.0019550342130987,-348.3984375,-2.0,-180.703125
236,13,6546,0,-2469,-4.3,2,-4181,-5.4,0.2,3318,-2.0019550342130987,-868.0078125,-2.0,-1469.8828125
237,14,6560,0,-184,-5.6,2,-246,-2.6,0.02,3332,-2.0019550342130987,-64.6875,-2.0,-86.484375
238,15,6575,0,-3463,-6.4,2,-2703,-4.3,0.3,3347,-2.0019550342130987,-1217.4609375,-2.0,-950.2734375
239,14,6589,0,-2588,-5.9,2,-1769,-5.6,0.66,3361,-2.0019550342130987,-909.84375,-2.0,-621.9140625
